epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,496.907,2.89771,1.61857,1.02068,0.06353,0.16483,0.03418,0.00926,2.3059,13.57,0.83876,0.0091882,0.0091882,0.0091882
43,508.64,2.91201,1.64929,1.01705,0.07203,0.25349,0.04486,0.01382,2.3599,17.29,0.85851,0.0091684,0.0091684,0.0091684
44,520.152,2.89665,1.62749,1.02151,0.07601,0.1677,0.04209,0.01463,2.50265,12.7193,0.88017,0.0091486,0.0091486,0.0091486
45,531.677,2.91767,1.64948,1.00583,0.07052,0.35101,0.04642,0.01552,2.30546,11.1411,0.86566,0.0091288,0.0091288,0.0091288
46,543.283,2.89661,1.6377,1.01641,0.05141,0.21935,0.03342,0.00952,2.28768,12.6676,0.8529,0.009109,0.009109,0.009109
47,554.983,2.95518,1.66335,1.0073,0.0529,0.22809,0.03229,0.01119,2.2379,13.3485,0.85246,0.0090892,0.0090892,0.0090892
48,566.714,2.8223,1.55906,1.01899,0.05328,0.34003,0.03059,0.00975,2.08344,16.1124,0.82988,0.0090694,0.0090694,0.0090694
49,578.367,2.81121,1.57745,1.00953,0.05548,0.2464,0.0438,0.01284,2.34943,16.5999,0.84112,0.0090496,0.0090496,0.0090496
50,590.147,2.85735,1.588,1.00279,0.06261,0.25504,0.04382,0.0129,2.21048,14.7645,0.8488,0.0090298,0.0090298,0.0090298
51,602.195,2.7748,1.54208,1.0176,0.04835,0.28649,0.03244,0.01195,2.16924,15.9254,0.84347,0.00901,0.00901,0.00901
52,613.959,2.8442,1.59929,1.00906,0.06899,0.17868,0.04241,0.0133,2.16427,18.159,0.8593,0.0089902,0.0089902,0.0089902
53,625.627,2.79526,1.58475,1.00128,0.05838,0.25006,0.04114,0.01355,2.25709,18.2577,0.85766,0.0089704,0.0089704,0.0089704
54,637.295,2.89093,1.60591,1.00594,0.06292,0.16792,0.03669,0.01237,2.1371,16.3928,0.84232,0.0089506,0.0089506,0.0089506
55,649.044,2.89215,1.64872,1.01478,0.06707,0.37938,0.04667,0.01525,2.16614,14.5174,0.85324,0.0089308,0.0089308,0.0089308
